Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
01/02/2026;;00000000000003;CAFE PILAO EX FORTE 500G ED;1,000;15,99;15,99;0,00;1,12;0,00;15,99;93,00;0,00;0,14;0,14;;;
01/02/2026;;00000000000011;DES AERO REXONA MEN INVISIBLE 150ML;1,000;18,49;18,49;10,90;0,00;0,00;7,59;41,05;69,63;0,07;0,21;;;
01/02/2026;;00000000000014;DES AERO REXONA MEN ACTIVE DRY 150ML;1,000;18,49;18,49;10,99;0,00;0,00;7,50;40,56;68,24;0,07;0,28;;;
01/02/2026;;00000000000015;DES AERO REXONA MEN V8 150ML;1,000;18,49;18,49;10,90;0,00;0,00;7,59;41,05;69,63;0,07;0,34;;;
01/02/2026;;00000000000054;DES CR HERBISSIMO TRADICIONAL 55G;4,000;27,56;6,89;15,24;0,00;0,00;12,32;44,70;80,84;0,11;0,45;;;
01/02/2026;;00000000000117;DES LEITE DE ROSAS TRAD 100ML;1,000;4,79;4,79;3,00;0,00;0,00;1,79;37,37;59,67;0,02;0,47;;;
01/02/2026;;00000000000123;TALCO BARLA 80G;1,000;6,99;6,99;3,58;0,00;0,00;3,41;48,78;95,25;0,03;0,50;;;
01/02/2026;;00000000000211;CR DENTAL SORRISO FRESH ANTI 90G;1,000;6,99;6,99;4,31;0,49;0,00;2,68;31,33;62,18;0,02;0,52;;;
01/02/2026;;00000000000214;CR DENT SORRISO DENTES BRANC 50G;2,000;7,38;3,69;4,46;0,00;0,00;2,92;39,57;65,47;0,03;0,55;;;
01/02/2026;;00000000000215;CR DENTAL COLGATE MPA 180G;1,000;9,99;9,99;5,67;0,70;0,00;4,32;36,24;76,19;0,04;0,59;;;
01/02/2026;;00000000000219;CR DENTAL COLGATE MPA 90G;6,000;34,74;5,79;9,90;2,43;0,00;24,84;64,50;250,91;0,22;0,81;;;
01/02/2026;;00000000000220;CR DENTAL COLGATE MPA 50G;1,000;5,59;5,59;2,45;0,39;0,00;3,14;49,16;128,16;0,03;0,84;;;
01/02/2026;;00000000000286;SH PALMOLIVE NUTRI EXTRA 350ML;1,000;10,99;10,99;6,40;0,00;0,00;4,59;41,77;71,72;0,04;0,88;;;
01/02/2026;;00000000000287;SH PALMOLIVE ILUMINADOR PRETO 350ML;1,000;10,99;10,99;6,40;0,00;0,00;4,59;41,77;71,72;0,04;0,92;;;
01/02/2026;;00000000000378;CR TRATA NOVEX ULTRAPROFUNDA 400G;1,000;15,99;15,99;9,74;0,00;0,00;6,25;39,09;64,17;0,06;0,98;;;
01/02/2026;;00000000000390;REPELENTE REPELEX LOÇAO HIDR 100ML;1,000;12,29;12,29;13,80;0,00;1,14;-1,51;-21,54;-10,94;-0,01;0,96;;;
01/02/2026;;00000000000397;AGUA OXIGENADA MARCIA VOL30 70ML;1,000;2,99;2,99;1,39;0,60;0,22;1,60;26,11;115,11;0,01;0,98;;;
01/02/2026;;00000000000409;ABS SEMPRE LIVRE SUAVE C/ABAS 16UN;1,000;10,99;10,99;6,99;0,00;1,02;4,00;27,15;57,22;0,04;1,01;;;
01/02/2026;;00000000000431;ABS SEMPRE LIVRE ADAPT SUAVE S/ABAS 8UND;2,000;13,98;6,99;6,76;0,00;1,29;7,22;42,40;106,80;0,06;1,08;;;
01/02/2026;;00000000000534;PAPEL HIG NEVE SUPREME F/TRIPLA 4 ROLOS;1,000;9,79;9,79;7,00;0,00;0,00;2,79;28,50;39,86;0,02;1,10;;;
01/02/2026;;00000000000536;PAPEL HIG NEVE TOQUE DE SEDA FD 4ROLOS;2,000;19,98;9,99;13,08;0,00;0,00;6,90;34,53;52,75;0,06;1,16;;;
01/02/2026;;00000000000538;PRENDEDOR DE ROUPA PARANA 12UND;1,000;3,49;3,49;1,71;0,70;0,26;1,78;23,60;104,09;0,02;1,18;;;
01/02/2026;;00000000000549;COLA SUPERBONDER ORIGINAL 3G;1,000;7,99;7,99;4,34;1,60;0,59;3,65;18,28;84,10;0,03;1,21;;;
01/02/2026;;00000000000574;ESC DENTAL COLGATE EXTRA SUAVE INFANTIL;1,000;7,49;7,49;4,62;0,00;0,00;2,87;38,32;62,12;0,03;1,24;;;
01/02/2026;;00000000000621;BAYGON AERO ACAO TOTAL 360ML;1,000;17,99;17,99;11,42;3,60;1,33;6,57;9,12;57,53;0,06;1,29;;;
01/02/2026;;00000000000671;MULTIUSO BARRA CLASSICO 500ML;1,000;2,49;2,49;1,55;0,00;0,23;0,94;28,50;60,65;0,01;1,30;;;
